text,category
"Как проверить, есть ли у меня запрет на выезд за границу из-за долгов?","Консультация/Вопрос"
"Я хочу подать на развод, какие документы и куда нужно подавать?","Запрос на госуслугу"
"Не могу прикрепить ребенка к поликлинике онлайн, система выдает 'ИИН не найден'.","Техническая проблема"
"Было бы полезно иметь чат-бота на сайте egov для ответа на часто задаваемые вопросы.","Предложение/Отзыв"
"В ответе на мое обращение содержатся только общие фразы, нет конкретного решения моей проблемы.","Жалоба"
"Каков размер государственной пошлины за замену паспорта в связи с истечением срока?","Консультация/Вопрос"
"Как получить справку о зарегистрированных правах (обременениях) на недвижимое имущество?","Запрос на госуслугу"
"Постоянно обрывается интернет-соединение при использовании образовательного портала Kundelik.","Техническая проблема"
"Хочу поблагодарить за организацию онлайн-трансляций важных государственных мероприятий.","Предложение/Отзыв"
"Информация о вакансиях на государственной службе на сайте enbek.kz неактуальна.","Жалоба"
"Какие меры предпринимаются для улучшения экологии в промышленных городах Казахстана?","Консультация/Вопрос"
"Нужно получить разрешение на строительство частного дома. Какие инстанции нужно пройти?","Запрос на госуслугу"
"Не открывается раздел 'Мои дела' в приложении Aitu. Гос.услуги.","Техническая проблема"
"Предлагаю ввести электронные трудовые книжки для всех работников.","Предложение/Отзыв"
"Мне начислили штраф за парковку, хотя я оплатил ее через мобильное приложение. Есть скриншот.","Жалоба"
"Где найти информацию о программе 'Дипломмен ауылға'?","Консультация/Вопрос"
"Как зарегистрировать право собственности на квартиру, купленную на вторичном рынке?","Запрос на госуслугу"
"Не могу войти в систему СОНО для сдачи налоговой отчетности, забыл пароль, восстановление не работает.","Техническая проблема"
"Очень доволен качеством предоставления услуг в новом спецЦОНе! Быстро и без очередей.","Предложение/Отзыв"
"Почему требуют нотариально заверенную копию документа, если есть возможность проверить его подлинность по QR-коду?","Жалоба"
"Какие документы нужны для получения гражданства Республики Казахстан?","Консультация/Вопрос"
"Хочу встать на учет как безработный. Это можно сделать онлайн?","Запрос на госуслугу"
"Приложение e-Salyq Azamat неверно отображает мои налоговые обязательства.","Техническая проблема"
"Прошу рассмотреть возможность упрощения процедуры получения разрешений для иностранных инвесторов.","Предложение/Отзыв"
"В детском саду требуют дополнительные взносы, не предусмотренные договором.","Жалоба"
"Как узнать свой избирательный участок на предстоящих выборах?","Консультация/Вопрос"
"Нужна справка о наличии либо отсутствии судимости для трудоустройства.","Запрос на госуслугу"
"Сайт Министерства труда и социальной защиты населения часто недоступен.","Техническая проблема"
"Предлагаю ввести систему оценки качества работы каждого ЦОНа гражданами.","Предложение/Отзыв"
"Отказывают в приеме документов для назначения пенсии, ссылаясь на неполный пакет. Какой именно документ отсутствует?","Жалоба"
"Какие есть государственные программы по обмену старых автомобилей на новые?","Консультация/Вопрос"
"Как легализовать документы об образовании, полученные за рубежом, для использования в Казахстане?","Запрос на госуслугу"
"Мобильное приложение банка не позволяет оплатить налог на имущество, выдает ошибку связи с сервером налоговой.","Техническая проблема"
"Хочу выразить признательность за внедрение 'Цифровых документов', это очень удобно!","Предложение/Отзыв"
"Необоснованно высокая комиссия за предоставление выписки из реестра GZX.","Жалоба"
"Каков порядок получения лицензии на образовательную деятельность?","Консультация/Вопрос"
